Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,combined_features
 Digital Media Planner,5 - 10 yrs, Media Planning| Digital Media,Advertising,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager,72.8773928,19.0759899,3855," Media Planning| Digital Media Media Planning Executive/Manager Advertising, PR, MR, Event Management Marketing , Advertising , MR , PR , Media Planning"
 Online Bidding Executive,2 - 5 yrs, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,"Pune,Pune","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2639," pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology Sales Executive/Officer IT-Software, Software Services Sales , Retail , Business Development"
 Trainee Research/ Research Executive- Hi- Tech Operations,0 - 1 yrs, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D,Gurgaon,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive,77.00270015,28.42826235,2156," Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive R&D Executive Recruitment, Staffing Engineering Design , R&D"
 Technical Support,0 - 5 yrs, Technical Support,Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer,72.8773928,19.0759899,4059," Technical Support Technical Support Engineer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Software Test Engineer -hyderabad,2 - 5 yrs, manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,Hyderabad,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,78.4740613,17.360589,5347," manual testing| test engineering| test cases| web testing| web technologies Testing Engineer IT-Software, Software Services IT Software - QA & Testing"
 Opening For Adobe Analytics Specialist,5 - 7 yrs, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,73.8544541,18.521428,4838," adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst System Analyst IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Sales- Fresher-for Leading Property Consultant,0 - 0 yrs, channel partners| real estate| negotiation| property| Residential Sales,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,77.590082,12.9767936,2585," channel partners| real estate| negotiation| property| Residential Sales Sales Executive/Officer Real Estate, Property Sales , Retail , Business Development"
 Opportunity For Azure Devops Architect For Hyderabad Location,9 - 14 yrs, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect,78.4740613,17.360589,3914," TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS Technical Architect IT-Software, Software Services IT Software - Application Programming , Maintenance"
 BDE- PUNE,2 - 7 yrs, Bde,Institutional Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2111," Bde Sales Executive/Officer IT-Software, Software Services Sales , Retail , Business Development"
 Technical Support/ Product Support,1 - 5 yrs, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),77.590082,12.9767936,2359," technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process Associate/Senior Associate -(Technical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 Executive Assistant To Chairman,5 - 10 yrs, secretary| executive assistant| ea,Corporate Planning/Consulting/Strategy,Mumbai,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager,72.8773928,19.0759899,5569," secretary| executive assistant| ea Corporate Planning/Strategy Manager Courier, Transportation, Freight , Warehousing Strategy , Management Consulting , Corporate Planning"
 SEO Executive,1 - 6 yrs, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,"Noida,Delhi,Noida/Greater Noida","IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster,77.5545502,28.3900177,2167," website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining Webmaster IT-Software, Software Services IT Software - eCommerce , Internet Technologies"
 Workflow Coordinator,2 - 7 yrs, operations| workflow| tat| monitoring| mts| email,Operations,"Delhi,Delhi","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst,77.2219388,28.6517178,2063," operations| workflow| tat| monitoring| mts| email Process Flow Analyst BPO, Call Centre, ITeS ITES , BPO , KPO , LPO , Customer Service , Operations"
Oracle IDAM, 3 - 7 Years,Oracle IDAM|OIM|OAM,Programming & Design,"Bengaluru,Hyderabad,Kolkata,Chennai","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,,,3239,"Oracle IDAM|OIM|OAM Software Developer IT-Software / Software Services IT Software - Application Programming , Maintenance"
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,2 - 4 yrs, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager,77.00270015,28.42826235,6979," digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management Social Media Marketing Manager Advertising, PR, MR, Event Management Marketing , Advertising , MR , PR , Media Planning"
 Wanted Engineering Fresher For MNC Chennai,0 - 1 yrs, instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate,,Chennai,Other,Other,Other,80.270186,13.0836939,1513, instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate Other Other Other
 Tooling &amp; Sampling,2 - 7 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Engineering Design,Faridabad,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer,77.3105561,28.4031478,6622," Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management Senior Design Engineer Industrial Products, Heavy Machinery Engineering Design , R&D"
 Account Manager,3 - 7 yrs, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,72.8773928,19.0759899,5324," Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills Accounts Manager IT-Software, Software Services Accounts , Finance , Tax , Company Secretary , Audit"
